"DHA"	"DHA_pct"	"LA"	"LA_pct"	"MUFA"	"MUFA_pct"	"Omega_3"	"Omega_3_pct"	"Omega_6"	"Omega_6_by_Omega_3"	"Omega_6_pct"	"PUFA"	"PUFA_by_MUFA"	"PUFA_pct"
"DHA"	1	0.78	0.3804	0.0915	0.0526	-0.3273	0.8503	0.9271	0.4523	-0.8488	0.0258	0.5892	0.3375	0.3461
"DHA_pct"	0.78	1	-0.1838	0.363	-0.5678	-0.7773	0.364	0.7772	-0.1456	-0.5254	0.5238	-0.0111	0.7867	0.7781
"LA"	0.3804	-0.1838	0.9999	0.1239	0.7071	0.3679	0.5971	0.185	0.9494	-0.2996	-0.3218	0.8547	-0.3427	-0.3123
"LA_pct"	0.0915	0.363	0.1239	1	-0.563	-0.6381	-0.2636	-0.0219	-0.0294	0.3156	0.8561	-0.1097	0.6927	0.7579
"MUFA"	0.0526	-0.5678	0.7071	-0.563	0.9999	0.8821	0.5285	0.0061	0.7313	-0.3194	-0.8752	0.6811	-0.8805	-0.8488
"MUFA_pct"	-0.3273	-0.7773	0.3679	-0.6381	0.8821	1	0.1997	-0.2609	0.3714	-0.0753	-0.8745	0.3268	-0.9926	-0.9484
"Omega_3"	0.8503	0.364	0.5971	-0.2636	0.5285	0.1997	1	0.8418	0.6723	-0.9399	-0.4526	0.7979	-0.183	-0.149
"Omega_3_pct"	0.9271	0.7772	0.185	-0.0219	0.0061	-0.2609	0.8418	1	0.2484	-0.9392	-0.0289	0.4132	0.2827	0.3097
"Omega_6"	0.4523	-0.1456	0.9494	-0.0294	0.7313	0.3714	0.6723	0.2484	0.9999	-0.3816	-0.4198	0.9652	-0.3526	-0.2973
"Omega_6_by_Omega_3"	-0.8488	-0.5254	-0.2996	0.3156	-0.3194	-0.0753	-0.9399	-0.9392	-0.3816	1	0.3734	-0.5453	0.0628	0.0395
"Omega_6_pct"	0.0258	0.5238	-0.3218	0.8561	-0.8752	-0.8745	-0.4526	-0.0289	-0.4198	0.3734	1	-0.4538	0.902	0.8886
"PUFA"	0.5892	-0.0111	0.8547	-0.1097	0.6811	0.3268	0.7979	0.4132	0.9652	-0.5453	-0.4538	1	-0.3057	-0.2163
"PUFA_by_MUFA"	0.3375	0.7867	-0.3427	0.6927	-0.8805	-0.9926	-0.183	0.2827	-0.3526	0.0628	0.902	-0.3057	1	0.981
"PUFA_pct"	0.3461	0.7781	-0.3123	0.7579	-0.8488	-0.9484	-0.149	0.3097	-0.2973	0.0395	0.8886	-0.2163	0.981	1
