p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
ADHD	ADHD	1.0	2.5768e-08	3.8808e+07	0.0	0.2366	0.0156	1.0323	0.0103	1.0323	0.0103
ADHD	AN	-0.2451	0.0646	-3.7959	0.0001	0.243	0.0368	1.0085	0.0082	0.0283	0.0059
ADHD	ANX	0.3008	0.1314	2.2901	0.022	0.0619	0.0223	1.0005	0.0075	0.004	0.0071
ADHD	ASD	0.3459	0.0511	6.7648	1.3345e-11	0.1946	0.0169	1.0077	0.0097	0.3626	0.0073
ADHD	BIP	0.1205	0.0381	3.1621	0.0016	0.3239	0.0189	1.0477	0.0116	0.0398	0.0067
ADHD	CDG	0.2678	0.0463	5.7868	7.1754e-09	0.1637	0.0129	1.026	0.0117	0.1057	0.008
ADHD	DHA	0.2715	0.0445	6.1064	1.0192e-09	0.1025	0.0141	1.0873	0.0553	0.0036	0.0072
ADHD	DHA_pct	0.3166	0.049	6.4546	1.0853e-10	0.1184	0.0113	1.044	0.0394	0.0123	0.0076
ADHD	LA	0.1018	0.0448	2.2724	0.0231	0.1177	0.0292	1.0388	0.047	-0.0109	0.008
ADHD	LA_pct	0.3376	0.0455	7.4151	1.2154e-13	0.1181	0.0161	1.0548	0.0369	0.0026	0.0069
ADHD	MDD	0.538	0.0382	14.094	4.1360e-45	0.0283	0.0018	0.9969	0.0108	0.182	0.0074
ADHD	MUFA	-0.1906	0.0471	-4.0504	5.1127e-05	0.1834	0.0311	1.0018	0.0291	-0.0134	0.0086
ADHD	MUFA_pct	-0.3026	0.0459	-6.5902	4.3926e-11	0.2108	0.0301	1.0443	0.0374	-0.013	0.0083
ADHD	OCD	-0.1695	0.0738	-2.2977	0.0216	0.331	0.0514	0.9908	0.0077	0.0082	0.006
ADHD	Omega_3	0.1192	0.0436	2.7337	0.0063	0.1122	0.023	1.0829	0.0636	0.0011	0.0073
ADHD	Omega_3_pct	0.2315	0.0499	4.6361	3.5512e-06	0.087	0.0174	1.0898	0.071	0.0106	0.0071
ADHD	Omega_6_by_Omega_3	-0.1225	0.0484	-2.5305	0.0114	0.0853	0.0175	1.0874	0.0651	-0.0067	0.0071
ADHD	Omega_6	0.0487	0.0444	1.0974	0.2725	0.1174	0.0307	1.0484	0.051	-0.0093	0.0081
ADHD	Omega_6_pct	0.2523	0.0461	5.4702	4.4944e-08	0.1476	0.0223	1.0273	0.0298	0.0096	0.0075
ADHD	PTSD	0.5633	0.1662	3.3896	0.0007	0.0403	0.0193	1.0037	0.0067	0.0044	0.0048
ADHD	PUFA_by_MUFA	0.308	0.0441	6.9829	2.8919e-12	0.1974	0.0257	1.0348	0.0313	0.0137	0.008
ADHD	PUFA	0.0651	0.0413	1.5776	0.1147	0.1365	0.0329	1.0513	0.0506	-0.0074	0.0081
ADHD	PUFA_pct	0.2993	0.0428	6.9856	2.8358e-12	0.1671	0.0208	1.0172	0.0218	0.0143	0.0075
ADHD	SCZ	0.1268	0.0361	3.516	0.0004	0.4348	0.019	1.0992	0.015	0.0391	0.0088
ADHD	TS	0.208	0.0545	3.8165	0.0001	0.3902	0.0473	1.0138	0.0088	0.0147	0.0065
AN	ADHD	-0.2451	0.0646	-3.7959	0.0001	0.2375	0.0155	1.0323	0.0107	0.0283	0.0059
AN	AN	1.0	1.5147e-06	660215.5558	0.0	0.2404	0.038	1.0089	0.0076	1.0089	0.0076
AN	ANX	0.0894	0.1771	0.505	0.6135	0.06	0.0232	1.0016	0.0074	0.0095	0.0054
AN	ASD	-0.0752	0.0784	-0.9598	0.3372	0.1965	0.017	1.0062	0.0103	0.0169	0.0061
AN	BIP	0.1887	0.056	3.3703	0.0008	0.3444	0.0176	1.0246	0.0104	0.087	0.0062
AN	CDG	0.1956	0.0732	2.6717	0.0075	0.168	0.0127	1.0188	0.011	0.087	0.007
AN	DHA	-0.3036	0.0673	-4.5104	6.4703e-06	0.1115	0.0119	1.0679	0.0455	0.0072	0.0058
AN	DHA_pct	-0.344	0.065	-5.2909	1.2174e-07	0.1234	0.011	1.0339	0.0338	0.0097	0.0056
AN	LA	-0.0444	0.0558	-0.7951	0.4266	0.1237	0.0255	1.0246	0.0345	-0.0073	0.0056
AN	LA_pct	-0.1931	0.0702	-2.7515	0.0059	0.1228	0.0138	1.0451	0.0284	-0.0082	0.0058
AN	MDD	0.1584	0.0694	2.2816	0.0225	0.0288	0.0018	0.9923	0.0093	0.0447	0.0062
AN	MUFA	0.1409	0.0555	2.5409	0.0111	0.1812	0.0295	1.0052	0.0238	-0.0007	0.0053
AN	MUFA_pct	0.2337	0.0545	4.2904	1.7834e-05	0.2145	0.0294	1.0351	0.0295	0.0021	0.0057
AN	OCD	0.4846	0.1232	3.9328	8.3953e-05	0.3201	0.0521	0.9927	0.0075	0.0118	0.0054
AN	Omega_3	-0.2028	0.0652	-3.1096	0.0019	0.1176	0.0198	1.0714	0.0548	0.0081	0.0059
AN	Omega_3_pct	-0.317	0.0773	-4.0994	4.1426e-05	0.0938	0.0139	1.0761	0.0648	0.011	0.0059
AN	Omega_6_by_Omega_3	0.2509	0.0741	3.3846	0.0007	0.0914	0.0143	1.0747	0.0591	-0.012	0.0058
AN	Omega_6	-0.0043	0.0561	-0.0763	0.9392	0.1235	0.0269	1.0337	0.0375	-0.0074	0.0055
AN	Omega_6_pct	-0.1551	0.0664	-2.3346	0.0196	0.1473	0.0205	1.0276	0.0235	-0.0061	0.0057
AN	PTSD	-0.1138	0.221	-0.5147	0.6068	0.0341	0.0182	1.0073	0.0063	0.007	0.0047
AN	PUFA_by_MUFA	-0.2486	0.0571	-4.3527	1.3448e-05	0.1991	0.0249	1.0302	0.0248	-0.0013	0.0057
AN	PUFA	-0.0461	0.0543	-0.8489	0.3959	0.1423	0.0293	1.0373	0.0368	-0.0041	0.0056
AN	PUFA_pct	-0.2437	0.0626	-3.8902	0.0001	0.166	0.0207	1.0192	0.0177	-0.0009	0.0056
AN	SCZ	0.2187	0.0538	4.0635	4.8334e-05	0.4688	0.0205	1.0449	0.0136	0.0721	0.0069
AN	TS	0.0064	0.0979	0.0658	0.9475	0.3874	0.0454	1.0144	0.0082	0.0074	0.0058
