p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
AA_CHARGE	AA_CHARGE	1	1.85E-06	541951.2753	0	0.0426	0.0513	1.0105	0.0064	1.0105	0.0064
AA_CHARGE	AD_30617256	-0.0463	0.2733	-0.1694	0.8655	0.0106	0.0013	0.9971	0.0079	-0.0011	0.005
AA_CHARGE	ADD_30336701_C	-0.3106	0.2837	-1.095	0.2735	0.0778	0.0047	1.0018	0.0064	0.0059	0.0045
AA_CHARGE	ADD_30336701_P	0.0155	0.2056	0.0754	0.9399	0.0554	0.0045	1.0061	0.0065	-0.0012	0.0044
AA_CHARGE	ADD_30336701_T	-0.3173	0.2871	-1.1049	0.2692	0.0839	0.0048	1.0063	0.0062	0.0056	0.0046
AA_CHARGE	ADHD_30478444	-0.0491	0.1388	-0.3537	0.7236	0.2122	0.0129	1.04	0.0095	0.0085	0.0057
AA_CHARGE	AdrA_CHARGE	0.9325	0.4598	2.0282	0.0425	0.0726	0.0544	1.0014	0.007	0.3643	0.0051
AA_CHARGE	ALA_CHARGE	NA	NA	NA	NA	-0.0008	0.0584	1.0054	0.0067	-0.2845	0.0044
AA_CHARGE	AN_28494655	-0.1329	0.2479	-0.5361	0.5919	0.2139	0.0376	1.0135	0.0084	0.001	0.0048
AA_CHARGE	AN_31308545	0.042	0.1296	0.3241	0.7458	0.1601	0.0114	1.0335	0.0109	0.0003	0.0062
AA_CHARGE	ANX_26754954	-0.1427	0.3989	-0.3577	0.7206	0.0724	0.0295	1.0022	0.0071	1.77E-05	0.0053
AA_CHARGE	ASD_28540026	0.0172	0.2001	0.0858	0.9316	0.2908	0.0323	0.9658	0.0074	0.0029	0.0045
AA_CHARGE	ASD_30804558	0.1495	0.1617	0.9247	0.3551	0.1844	0.0165	1.0111	0.0097	0.0018	0.0058
AA_CHARGE	BIP_21926972	-0.0779	0.1593	-0.4888	0.625	0.4495	0.0385	1.007	0.0099	0.0026	0.0069
AA_CHARGE	BIP_31043756	-0.0341	0.11	-0.3103	0.7563	0.3032	0.0156	1.0349	0.0101	0.001	0.0054
AA_CHARGE	BIP_34002096	0.0394	0.115	0.3428	0.7318	0.056	0.0021	1.0583	0.01	-0.0063	0.0058
AA_CHARGE	CDG_23453885	0.0357	0.166	0.215	0.8298	0.1593	0.0102	1.0318	0.0097	0.0001	0.0064
AA_CHARGE	CDG_29906448	-0.0356	0.0872	-0.4084	0.683	0.272	0.0091	1.0704	0.0102	0.0028	0.0054
AA_CHARGE	CDG_31926635	-0.0672	0.0996	-0.6745	0.5	0.0671	0.0027	1.0546	0.0099	-0.0018	0.0055
AA_CHARGE	DE_ukb-b-20045	-0.3319	0.2295	-1.4464	0.1481	0.0067	0.0013	1.0053	0.0082	0.0055	0.005
