p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
AA_CHARGE	AA_CHARGE	1	1.78E-05	56132.8559	0	0.0809	0.0668	1.0354	0.025	1.0354	0.025
AA_CHARGE	AD_30617256	-0.044	0.2169	-0.2028	0.8393	0.0091	0.004	1.0386	0.0448	-0.0004	0.005
AA_CHARGE	ADD_30336701_C	-0.2122	0.1724	-1.2305	0.2185	0.0836	0.0054	0.9987	0.0068	0.0059	0.0045
AA_CHARGE	ADD_30336701_P	0.0077	0.1429	0.0537	0.9572	0.0596	0.0048	1.0042	0.0067	-0.0016	0.0045
AA_CHARGE	ADD_30336701_T	-0.2214	0.1707	-1.297	0.1946	0.0918	0.0056	1.0022	0.0068	0.0057	0.0046
AA_CHARGE	ADHD_30478444	-0.0677	0.1254	-0.5398	0.5893	0.2376	0.0155	1.035	0.0102	0.0083	0.0059
AA_CHARGE	AdrA_CHARGE	0.8809	0.3312	2.6598	0.0078	0.0826	0.0565	1.0071	0.0077	0.3755	0.0117
AA_CHARGE	ALA_CHARGE	NA	NA	NA	NA	-0.0011	0.0586	1.0094	0.0074	-0.2924	0.009
AA_CHARGE	AN_28494655	-0.1229	0.225	-0.5461	0.585	0.2252	0.0379	1.0136	0.0083	-0.0001	0.0049
AA_CHARGE	AN_31308545	0.0626	0.1743	0.3592	0.7194	0.179	0.0129	1.0256	0.0119	0.0008	0.0065
AA_CHARGE	ANX_26754954	-0.125	0.4473	-0.2793	0.78	0.0739	0.03	1.0031	0.0071	-0.0007	0.0053
AA_CHARGE	ASD_28540026	0.0125	0.183	0.0681	0.9457	0.2947	0.0327	0.9663	0.0075	0.0025	0.0046
AA_CHARGE	ASD_30804558	0.1536	0.1465	1.0482	0.2945	0.1952	0.0178	1.0091	0.0104	0.0001	0.0058
AA_CHARGE	BIP_21926972	-0.0591	0.1527	-0.3871	0.6987	0.4705	0.0404	1.0064	0.0101	0.0005	0.007
AA_CHARGE	BIP_31043756	-0.0335	0.0995	-0.3366	0.7364	0.3417	0.0178	1.0254	0.0106	-0.0013	0.0062
AA_CHARGE	BIP_34002096	-0.0092	0.1061	-0.0866	0.931	0.0687	0.0027	1.0335	0.0111	-0.0082	0.0065
AA_CHARGE	CDG_23453885	0.0538	0.1604	0.3354	0.7374	0.1733	0.0118	1.0267	0.0107	-0.0018	0.0066
AA_CHARGE	CDG_29906448	-0.0462	0.0781	-0.5916	0.5541	0.3462	0.0137	1.0291	0.0124	0.0009	0.0063
AA_CHARGE	CDG_31926635	-0.0734	0.084	-0.8747	0.3817	0.0768	0.0035	1.0417	0.0109	-0.0035	0.0059
AA_CHARGE	DE_ukb-b-20045	-0.2913	0.1859	-1.567	0.1171	0.007	0.0013	1.0048	0.0083	0.0048	0.0051
AA_CHARGE	DGLA_CHARGE	NA	NA	NA	NA	-0.0055	0.0611	1.0222	0.0072	-0.1434	0.0103
AA_CHARGE	DHA_CHARGE	0.0014	0.3622	0.0039	0.9969	0.1167	0.0532	0.9982	0.0066	0.1393	0.0041
AA_CHARGE	DHA_pct_UKB	0.6172	0.3134	1.9695	0.0489	0.1231	0.0108	1.0296	0.0274	0.0195	0.0224
AA_CHARGE	DHA_UKB	0.7274	0.4423	1.6446	0.1001	0.1105	0.0111	1.0632	0.039	0.0188	0.024
AA_CHARGE	DPA_CHARGE	1.0974	0.4604	2.3835	0.0171	0.1164	0.066	1.0115	0.0081	0.2012	0.0111
AA_CHARGE	EPA_CHARGE	NA	NA	NA	NA	-0.2833	0.0479	1.0754	0.0069	0.1355	0.0078
AA_CHARGE	GLA_CHARGE	NA	NA	NA	NA	-0.4033	0.0845	1.0833	0.0138	0.101	0.0094
AA_CHARGE	INS_ukb-b-3957	-0.0481	0.0946	-0.5085	0.6111	0.0624	0.0024	1.0255	0.0098	0.0041	0.0049
AA_CHARGE	LA_CHARGE	-4.3046	6.1306	-0.7021	0.4826	0.0334	0.0498	1.0215	0.0102	-0.4964	0.0156
AA_CHARGE	LA_pct_UKB	-0.5245	0.2018	-2.5987	0.0094	0.1223	0.0119	1.0367	0.0208	-0.0086	0.0176
AA_CHARGE	LA_UKB	-0.2157	0.1619	-1.332	0.1829	0.1189	0.0215	1.0219	0.0261	-0.0055	0.0094
AA_CHARGE	MDD_22472876	0.1325	0.2245	0.59	0.5552	0.1601	0.0303	1.018	0.0087	-0.0058	0.0062
AA_CHARGE	MDD_30718901	-0.1814	0.101	-1.7959	0.0725	0.0612	0.0024	0.992	0.01	0.001	0.0051
AA_CHARGE	MooD_ukb-d-KRA_PSY_MOOD	0.2138	0.2708	0.7895	0.4298	0.0056	0.0013	0.9974	0.0066	-0.0035	0.0042
AA_CHARGE	OCD_28761083	0.0755	0.1891	0.3994	0.6896	0.3176	0.0487	0.9946	0.0068	0.0032	0.0046
AA_CHARGE	Omega_3_pct_UKB	0.9777	1.0725	0.9116	0.362	0.0955	0.0113	1.0636	0.05	0.0219	0.0268
AA_CHARGE	Omega_3_UKB	0.9129	3.4074	0.2679	0.7888	0.116	0.0173	1.0657	0.0464	0.0205	0.0259
AA_CHARGE	Omega_6_by_Omega_3_UKB	-1.1377	1.1619	-0.9792	0.3275	0.0656	0.0054	1.0241	0.0078	0.0057	0.0047
AA_CHARGE	Omega_6_pct_UKB	-0.1552	0.1404	-1.105	0.2692	0.1437	0.0179	1.0264	0.0185	0.0052	0.005
AA_CHARGE	Omega_6_UKB	0.0196	0.1509	0.1302	0.8964	0.1225	0.0232	1.0277	0.0286	0.0019	0.0055
AA_CHARGE	PD_ieu-b-7	0.0846	0.1413	0.5991	0.5491	0.016	0.0016	0.9802	0.0068	-0.0045	0.0043
AA_CHARGE	PTSD_31594949	-0.2024	0.2546	-0.7948	0.4267	0.0177	0.003	1.021	0.0067	-0.004	0.0052
AA_CHARGE	PUFA_pct_UKB	0.1605	0.1341	1.1969	0.2313	0.1543	0.0154	1.0224	0.0151	0.0167	0.0117
AA_CHARGE	PUFA_UKB	0.2105	0.1609	1.3076	0.191	0.1346	0.025	1.0359	0.0306	0.0072	0.0102
AA_CHARGE	SCZ_21926974	-0.1497	0.1413	-1.059	0.2896	0.2269	0.015	1.0321	0.011	0.006	0.0064
AA_CHARGE	SCZ_23974872	-0.0792	0.1063	-0.7453	0.4561	0.2806	0.0148	1.0239	0.0097	0.0006	0.0056
AA_CHARGE	SCZ_25056061	-0.0583	0.063	-0.9249	0.355	1157.7979	58.3467	1.0727	0.017	0.0046	0.0075
AA_CHARGE	TS_30818990	0.0108	0.1852	0.0585	0.9534	0.3577	0.0429	1.0159	0.008	-0.0034	0.0048
